,word,times,percent
2917,cracker,503,0.04971790279408683
3279,chops,502,0.04961906004499322
4364,swiss,492,0.0486306325540571
4988,quartered,488,0.04823526155768265
2394,refrigerated,485,0.04793873331040181
4505,avocado,485,0.04793873331040181
1834,distilled,484,0.047839890561308204
999,french,481,0.047543362314027365
5138,coffee,479,0.04734567681584014
184,roasted,476,0.04704914856855931
3445,cereal,475,0.046950305819465694
1107,garnish,472,0.04665377757218486
4345,cherries,467,0.0461595638267168
1581,salmon,466,0.046060721077623185
3483,monterey,453,0.044775765339406234
4666,softened,449,0.04438039434303179
3558,italian-style,449,0.04438039434303179
1771,vodka,447,0.044182708844844557
609,nuts,446,0.04408386609575095
1423,coriander,446,0.04408386609575095
4930,molasses,444,0.043886180597563725
2975,spice,438,0.043293124103002054
3256,taco,436,0.04309543860481483
2161,turmeric,433,0.04279891035753399
1749,kernel,430,0.04250238211025316
4175,squares,429,0.042403539361159544
162,weed,428,0.042304696612065935
2865,round,424,0.04190932561569148
1910,plum,423,0.04181048286659787
5021,cornmeal,423,0.04181048286659787
991,creamy,421,0.04161279736841065
4491,chives,420,0.041513954619317034
2230,macaroni,416,0.04111858362294259
510,applesauce,410,0.040525527128380916
1714,a,406,0.04013015613200647
5334,cauliflower,405,0.04003131338291285
5321,asparagus,400,0.0395370996374448
1135,roma,398,0.039339414139257574
939,removed,397,0.03924057139016396
2961,sherry,397,0.03924057139016396
3627,c,388,0.038350986648321456
2949,chipotle,387,0.03825214389922784
1798,dough,386,0.038153301150134225
336,virgin,382,0.03775793015375978
4412,whole,381,0.03765908740466617
2278,ricotta,379,0.037461401906478946
4400,miniature,376,0.03716487365919811
767,110,375,0.0370660309101045
3547,lengthwise,374,0.03696718816101088
3913,garbanzo,374,0.03696718816101088
1928,peanuts,374,0.03696718816101088
5031,beer,367,0.036275288917355604
1903,thin,366,0.03617644616826199
2376,strips,366,0.03617644616826199
4898,processed,365,0.03607760341916837
2927,room,364,0.035978760670074765
2593,temperature,364,0.035978760670074765
1936,lightly,362,0.03578107517188754
1757,tuna,361,0.035682232422793926
2424,bag,359,0.0354845469246067
3905,jell-o,358,0.035385704175513094
